No;Þirket Adý;Þirket Adý2;Column1;Column2;Column3;Column4;Column5
58;bekaert i?zmi?t çeli?k kord sanayi? ve ti?caret aþ.;http://www.bekaert.com; YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;;;
59;bemaks metal i?nþ. i?mal. san. ve ti?c. a.þ.;http://www.bemaxmetal.com.tr; HÝZMETLER;MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;
60;bese metal ürün. i?nþ. taah. plast. ti?c. ve san. ltd. þti?.;NaN;;;;;
61;beþel cam pvc i?nþ. san. ve ti?c. ltd. þti?.;https://www.gardellagarden.com; BÝNA ÝÇÝ TASARIM VE DEKORASYON;KAPI, GEÇÝÞ, AKTARIM VE BÝNA OTOMASYON SÝSTEMLERÝ;PENCERE VE PROFÝL SÝSTEMLERÝ;;
62;beton asfalti s.r.l.;https://www.betonasfalti.it; HÝZMETLER;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;;
63;beysan alaybeyoðlu i?nþ.mad.san ve ti?c a.þ.;NaN;;;;;
64;biçakçilar laminat ve orman ürünleri? san. ti?c. ltd. þti?.;NaN;;;;;
65;bi?lsan kauçuk plasti?k san. ve ti?c. a.þ.;http://www.bilsan-eva.com; YAPI KÝMYASALLARI VE YALITIM;ZEMÝN KAPLAMALARI VE DÖÞEME SÝSTEMLERÝ;;;
66;biotel srl;http://www.biotel.ro; AYDINLATMA VE ELEKTRÝK;;;;
67;bi?rli?k tel örme i?nþ. nak. mak. san. ti?c. ltd.þti?.;http://www.birliktel.com.tr; ÇEVRE DÜZENLEME VE KENTSEL TASARIM;;;;
68;bosti?k ki?mya sanayi? ve ti?caret a.þ.;https://www.bostik.com; YAPI KÝMYASALLARI VE YALITIM;;;;
69;boyut çeli?k kapi dekorasyon mob. i?nþ. san. ti?c. ltd. þti?.;http://www.boyutcompany.com; KAPI, GEÇÝÞ, AKTARIM VE BÝNA OTOMASYON SÝSTEMLERÝ;YANGIN GÜVENLÝÐI, GÜVENLÝK VE ÝÞ GÜVENLÝÐÝ;;;
70;brango çeli?k kapi san. ve ti?c. ltd. þti?.;NaN;;;;;
71;brodecor yapi malzemeleri? diþ ti?c. ltd. þti?.;http://www.brodecor.net; BÝNA ÝÇÝ TASARIM VE DEKORASYON;ZEMÝN KAPLAMALARI VE DÖÞEME SÝSTEMLERÝ;;;
72;buildingsmart türki?ye;http://www.buildingsmartturkiye.org; HÝZMETLER;;;;
73;burak galvani?z;http://www.burakgalvaniz.com; BOYALAR VE BÝTÝRME;CEPHE VE ÇATI;YAPI KÝMYASALLARI VE YALITIM;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;
74;bytech boya ve yapi ki?myasallari? san. ve ti?c.ltd.þti?;http://www.bytechboya.com.tr; BOYALAR VE BÝTÝRME;YAPI KÝMYASALLARI VE YALITIM;ZEMÝN KAPLAMALARI VE DÖÞEME SÝSTEMLERÝ;;
75;çaðri tel çi?t hafri?yat emlak i?nþ. ti?c. san. ve ltd. þti?.;http://www.cagritelcit.com; ÇEVRE DÜZENLEME VE KENTSEL TASARIM;;;;
76;çaðsan merdi?ven ve eri?þi?m eki?pmanlari;https://www.cagsanmerdiven.com; MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;;;;
77;çapar yapi i?nþaat yalitim san. ve ti?c. ltd;http://www.caparyapi.com.tr; HÝZMETLER;MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;NALBURÝYE VE EL ALETLERÝ;;
78;caran ki?mya san. ve ti?c. ltd. þti?.;https://www.carankimya.com;;;;;
79;cemaks mühendi?sli?k mak. i?nþ. i?mal. san. ve ti?c. a.þ.;http://www.cemaxmuhendislik.com.tr; MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;;
80;çeti?n mühendi?sli?k maki?ne elektri?k i?nþaat tesi?sat taahhüt ti?c. ve san. ltd. þti?.;http://www.cetinmuhendislik.com.tr; ISITMA, HAVALANDIRMA, ÝKLÝMLENDÝRME, SU TEKNOLOJÝLERÝ VE ENERJÝ;MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;YAPI KÝMYASALLARI VE YALITIM;ZEMÝN KAPLAMALARI VE DÖÞEME SÝSTEMLERÝ;
81;çetka dekorati?f taþ i?nþ. taah. i?th. i?hr. san. ti?c. ltd. þti?.;NaN;;;;;
82;ceylan branda san.ti?c.ltd.þti?.;http://www.ceylanbranda.com; ÇEVRE DÜZENLEME VE KENTSEL TASARIM;;;;
83;ceylanlar perfore;http://www.ceylanlarmetal.com; CEPHE VE ÇATI;;;;
84;changzhou titan decoration materials co., ltd.;https://www.titanflor.com; HÝZMETLER;YANGIN GÜVENLÝÐI, GÜVENLÝK VE ÝÞ GÜVENLÝÐÝ;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;ZEMÝN KAPLAMALARI VE DÖÞEME SÝSTEMLERÝ;
85;chaozhou chaoan dayao bathroom equipment industrial co.,ltd;http://www.dayao-china.com; BANYO, MUTFAK, HAVUZ VE SPA;;;;
86;ci?han mert taþdelen;https://cihanlar.com.tr/; ÇEVRE DÜZENLEME VE KENTSEL TASARIM;;;;
87;çks ki?mya sanayi? ve ti?caret aþ.;NaN;;;;;
88;clever polymers ve yapi ki?myasallari a.þ.;http://www.cleverpolymers.com; YAPI KÝMYASALLARI VE YALITIM;;;;
